date,mean_temperature_f,mean_dew_point_f,mean_humidity,mean_sea_level_pressure_inches,mean_visibility_miles,mean_wind_speed_mph,max_gust_speed_mph,precipitation_inches,events,wind_dir_degrees,city
2013-08-29,68.0,58.0,75.0,30.02,10.0,11.0,28.0,0,Clear,286.0,San Francisco
2013-08-30,69.0,58.0,70.0,30.0,10.0,13.0,35.0,0,Clear,291.0,San Francisco
2013-08-31,64.0,56.0,75.0,29.96,10.0,15.0,31.0,0,Clear,284.0,San Francisco
2013-09-01,66.0,56.0,68.0,29.93,10.0,13.0,29.0,0,Clear,284.0,San Francisco
2013-09-02,69.0,60.0,77.0,29.94,10.0,12.0,30.0,0,Clear,277.0,San Francisco
2013-09-03,67.0,56.0,65.0,29.98,10.0,15.0,31.0,0,Clear,276.0,San Francisco
2013-09-04,68.0,57.0,72.0,30.01,10.0,19.0,35.0,0,Clear,269.0,San Francisco
2013-09-05,66.0,56.0,74.0,30.0,10.0,21.0,37.0,0,Clear,270.0,San Francisco
2013-09-06,71.0,51.0,58.0,29.92,10.0,8.0,28.0,0,Clear,287.0,San Francisco
2013-09-07,73.0,54.0,59.0,29.85,10.0,8.0,25.0,0,Clear,305.0,San Francisco
2013-09-08,65.0,54.0,70.0,29.83,10.0,11.0,31.0,0,Clear,299.0,San Francisco
2013-09-09,66.0,55.0,70.0,29.77,10.0,11.0,30.0,0,Clear,303.0,San Francisco
2013-09-10,66.0,56.0,73.0,29.82,10.0,8.0,21.0,0,Clear,230.0,San Francisco
2013-09-11,68.0,55.0,68.0,29.97,10.0,9.0,23.0,0,Clear,219.0,San Francisco
2013-09-12,65.0,57.0,73.0,29.95,10.0,11.0,30.0,0,Fog,268.0,San Francisco
2013-09-13,62.0,54.0,80.0,29.87,10.0,15.0,37.0,0,Clear,271.0,San Francisco
2013-09-14,62.0,54.0,77.0,29.81,10.0,16.0,33.0,0,Clear,265.0,San Francisco
2013-09-15,66.0,55.0,72.0,29.85,10.0,13.0,26.0,0,Clear,276.0,San Francisco
2013-09-16,65.0,55.0,74.0,29.87,10.0,16.0,39.0,0,Clear,274.0,San Francisco
2013-09-17,63.0,53.0,72.0,29.87,10.0,22.0,51.0,0,Clear,270.0,San Francisco
2013-09-18,66.0,49.0,60.0,29.88,10.0,10.0,30.0,0,Clear,278.0,San Francisco
2013-09-19,67.0,50.0,58.0,29.82,10.0,10.0,33.0,0,Clear,297.0,San Francisco
2013-09-20,65.0,56.0,70.0,29.84,10.0,10.0,23.0,0,Clear,248.0,San Francisco
2013-09-21,63.0,56.0,75.0,29.85,9.0,12.0,28.0,0.23,Rain,218.0,San Francisco
2013-09-22,63.0,53.0,70.0,29.97,10.0,10.0,35.0,0,Clear,292.0,San Francisco
2013-09-23,68.0,54.0,64.0,29.99,10.0,9.0,30.0,0,Clear,294.0,San Francisco
2013-09-24,65.0,52.0,66.0,29.97,10.0,19.0,43.0,0,Clear,277.0,San Francisco
2013-09-25,62.0,47.0,64.0,29.91,10.0,20.0,45.0,0,Clear,281.0,San Francisco
2013-09-26,62.0,43.0,53.0,29.92,10.0,11.0,29.0,0,Clear,281.0,San Francisco
2013-09-27,66.0,41.0,46.0,30.06,10.0,7.0,28.0,0,Clear,279.0,San Francisco
2013-09-28,66.0,48.0,60.0,30.06,10.0,9.0,32.0,0,Clear,296.0,San Francisco
2013-09-29,66.0,56.0,70.0,30.09,10.0,7.0,21.0,0,Clear,253.0,San Francisco
2013-09-30,66.0,57.0,69.0,30.03,10.0,10.0,26.0,T,Fog,264.0,San Francisco
2013-10-01,63.0,48.0,61.0,29.98,10.0,13.0,26.0,0,Clear,273.0,San Francisco
2013-10-02,62.0,46.0,61.0,29.98,10.0,14.0,35.0,0,Clear,280.0,San Francisco
2013-10-03,62.0,41.0,47.0,30.02,10.0,13.0,30.0,0,Clear,294.0,San Francisco
2013-10-04,69.0,42.0,38.0,30.05,10.0,9.0,25.0,0,Clear,13.0,San Francisco
2013-10-05,69.0,36.0,36.0,30.14,10.0,5.0,13.0,0,Clear,122.0,San Francisco
2013-10-06,70.0,44.0,40.0,30.07,10.0,5.0,15.0,0.01,Clear,345.0,San Francisco
2013-10-07,68.0,41.0,46.0,29.95,10.0,9.0,31.0,0,Clear,295.0,San Francisco
2013-10-08,62.0,47.0,59.0,29.84,10.0,10.0,24.0,0,Clear,278.0,San Francisco
2013-10-09,60.0,45.0,60.0,29.69,10.0,8.0,21.0,0,Clear,286.0,San Francisco
2013-10-10,62.0,47.0,61.0,29.91,10.0,5.0,15.0,0,Clear,302.0,San Francisco
2013-10-11,57.0,47.0,70.0,30.04,10.0,9.0,30.0,0,Clear,275.0,San Francisco
2013-10-12,56.0,46.0,71.0,29.98,8.0,13.0,40.0,0,Fog,252.0,San Francisco
2013-10-13,62.0,47.0,60.0,30.01,10.0,7.0,26.0,0,Clear,286.0,San Francisco
2013-10-14,64.0,41.0,49.0,30.06,10.0,5.0,,0,Clear,272.0,San Francisco
2013-10-15,67.0,37.0,40.0,30.01,10.0,5.0,22.0,0,Clear,294.0,San Francisco
2013-10-16,67.0,42.0,41.0,30.05,10.0,4.0,14.0,0,Clear,305.0,San Francisco
2013-10-17,68.0,45.0,56.0,30.03,10.0,7.0,24.0,0,Clear,306.0,San Francisco
2013-10-18,60.0,48.0,66.0,30.02,10.0,10.0,25.0,0,Clear,294.0,San Francisco
2013-10-19,62.0,48.0,65.0,30.04,10.0,9.0,23.0,0,Clear,301.0,San Francisco
2013-10-20,57.0,47.0,77.0,29.99,8.0,11.0,26.0,0,Fog,290.0,San Francisco
2013-10-21,55.0,47.0,80.0,29.98,10.0,9.0,25.0,0,Clear,284.0,San Francisco
2013-10-22,56.0,48.0,82.0,29.99,5.0,10.0,25.0,0,Fog,281.0,San Francisco
2013-10-23,55.0,48.0,83.0,29.96,7.0,9.0,28.0,0,Fog,282.0,San Francisco
2013-10-24,57.0,47.0,73.0,30.05,10.0,9.0,20.0,0,Clear,269.0,San Francisco
2013-10-25,59.0,47.0,69.0,30.13,10.0,9.0,24.0,0,Clear,263.0,San Francisco
2013-10-26,60.0,48.0,67.0,30.09,10.0,9.0,25.0,0,Fog,292.0,San Francisco
2013-10-27,55.0,47.0,76.0,29.9,10.0,18.0,51.0,T,Rain,267.0,San Francisco
2013-10-28,57.0,46.0,69.0,29.75,10.0,15.0,43.0,0,Clear,263.0,San Francisco
2013-10-29,58.0,45.0,66.0,29.97,10.0,7.0,21.0,0,Clear,256.0,San Francisco
2013-10-30,57.0,45.0,66.0,30.11,10.0,7.0,22.0,0,Clear,286.0,San Francisco
2013-10-31,59.0,43.0,54.0,30.13,10.0,4.0,,0,Clear,300.0,San Francisco
2013-11-01,63.0,45.0,57.0,30.08,10.0,4.0,18.0,0,Clear,315.0,San Francisco
2013-11-02,57.0,47.0,73.0,29.99,9.0,13.0,33.0,0,Clear,284.0,San Francisco
2013-11-03,55.0,41.0,56.0,29.99,10.0,9.0,24.0,0,Clear,277.0,San Francisco
2013-11-04,56.0,39.0,56.0,30.0,10.0,9.0,28.0,0,Clear,286.0,San Francisco
2013-11-05,61.0,38.0,44.0,30.16,10.0,4.0,17.0,0,Clear,279.0,San Francisco
2013-11-06,61.0,42.0,52.0,30.21,10.0,0.0,6.0,0,Clear,68.0,San Francisco
2013-11-07,64.0,46.0,61.0,30.13,10.0,8.0,26.0,0,Clear,284.0,San Francisco
2013-11-08,60.0,48.0,72.0,30.05,7.0,8.0,26.0,0,Fog,269.0,San Francisco
2013-11-09,57.0,47.0,64.0,30.01,10.0,3.0,14.0,0,Clear,334.0,San Francisco
2013-11-10,58.0,48.0,72.0,30.09,10.0,5.0,16.0,0,Clear,269.0,San Francisco
2013-11-11,58.0,49.0,72.0,30.13,9.0,5.0,15.0,0,Clear,76.0,San Francisco
2013-11-12,64.0,50.0,62.0,30.23,10.0,7.0,22.0,T,Clear,312.0,San Francisco
2013-11-13,60.0,51.0,77.0,30.18,10.0,8.0,26.0,0,Fog,303.0,San Francisco
2013-11-14,56.0,49.0,84.0,30.03,10.0,13.0,37.0,0,Clear,266.0,San Francisco
2013-11-15,58.0,44.0,66.0,29.82,10.0,12.0,40.0,0,Clear,268.0,San Francisco
